US-Mexico Border;28/01/2020;0;0;1;0;Drowning;Río Bravo, near Ejido El Centinela, Piedras Negras, Coahuila, Mexico;28.788763982162, -100.533543201090;http://archive.ph/sHYRr
US-Mexico Border;28/01/2020;0;0;0;0;Drowning;Río Bravo, near International Bridge II, Eagle Pass, Maverick County, Texas, USA;28.697333006013, -100.510196847620;http://archive.ph/tKDR8
US-Mexico Border;28/01/2020;0;0;1;0;Drowning;Río Bravo, near Rancho Las Margaritas, Ejido San Isidro, Piedras Negras, Coahuila, Mexico;28.878090172782, -100.599521771430;http://archive.ph/tKDR8
Central America;28/01/2020;0;0;1;0;Fell from train;Train tracks in Sayula de Alemán, Veracruz, Mexico;17.881233200000, -94.960746100000;https://archive.ph/EhG06
South America;28/01/2020;0;0;1;0;Vehicle Accident;KM 340 of Carretera Panamericana Norte, near Distrito de Casma, Áncash, Perú;-9.468165673086, -78.316531763908;https://archive.ph/IDZhJ
Sub-Saharan Africa;27/01/2020;0;1;0;0;Shot;Niger-Algeria border, near N’Guezzam, Algeria;19.438952342166, 5.815740512500;
Central America;25/01/2020;0;0;1;0;Hit by train;Train tracks in Colonia Pakalná, Palenque, Chiapas, Mexico;17.542064600000, -91.989376200000;http://bit.ly/3aKH9m1
Mediterranean;25/01/2020;2;0;0;0;Presumed drowning;One nautical mile off the coast of Mersin, Turkey;36.751170397979, 34.646668995149;http://archive.ph/V0gLh
Europe;23/01/2020;0;0;0;0;Vehicle Accident;Road between Kavala and Amigdaleonas, east of Thessaloniki, Greece;40.943226797007, 24.375423792928;http://bit.ly/30NcrnI
Central America;23/01/2020;0;0;1;0;Hit by train;Train tracks in San Juan Evangelista, Veracruz, Mexico;17.887207400000, -95.138674200000;http://archive.ph/kYgxS
US-Mexico Border;23/01/2020;0;0;1;0;Drowning;Río Bravo, near the Rio Grande City – Camargo International Bridge, Camargo, Tamaulipas, Mexico;26.365632678802, -98.802563874984;http://bit.ly/3aLy9x0
Southeast Asia;23/01/2020;9;1;0;0;Drowning;Off the coast of Tanjung Medang, District of North Rupat, Bengkalis Regency, Riau Province, Indonesia - en route to Malaysia;2.169159487437, 101.608538654060;http://archive.ph/AvOVB
North Africa;23/01/2020;0;0;1;1;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Bani Walid, Libya;31.764020000000, 14.035110000000;
North Africa;23/01/2020;0;1;0;0;Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter;Timiaouine, Algeria;20.434520000000, 1.809960000000;
